library_id	reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	library_selection	instrument_model
TWFU-CPT0012280004-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f441cce2-1c04-11ee-b0c8-ff87f49c4b65_TWFU-CPT0012280004-Y1_2N1Ba1_1	dg.4DFC/f441cce2-1c04-11ee-b0c8-ff87f49c4b65	Not specified in data	Not specified in data
TWFU-CPT0012280004-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f441f3c0-1c04-11ee-9469-47c54f739826_TWFU-CPT0012280004-Y1_2N1Ba1_1	dg.4DFC/f441f3c0-1c04-11ee-9469-47c54f739826	Not specified in data	Not specified in data
TWFU-CPT0012280004-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4421a1c-1c04-11ee-9cda-fb6c444bc4de_TWFU-CPT0012280004-Y1_2N1Ba1_1	dg.4DFC/f4421a1c-1c04-11ee-9cda-fb6c444bc4de	Not specified in data	Not specified in data
TWFU-CPT0012550012-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4423c04-1c04-11ee-b649-37d4a158d547_TWFU-CPT0012550012-Y1_2N1Ba1_1	dg.4DFC/f4423c04-1c04-11ee-b649-37d4a158d547	Not specified in data	Not specified in data
TWFU-CPT0012550012-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4426468-1c04-11ee-b58e-eb415ad1f44e_TWFU-CPT0012550012-Y1_2N1Ba1_1	dg.4DFC/f4426468-1c04-11ee-b58e-eb415ad1f44e	Not specified in data	Not specified in data
TWFU-CPT0012550012-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f442889e-1c04-11ee-972a-4b3782d9843d_TWFU-CPT0012550012-Y1_2N1Ba1_1	dg.4DFC/f442889e-1c04-11ee-972a-4b3782d9843d	Not specified in data	Not specified in data
TWFU-CPT0014470002-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f442ad38-1c04-11ee-a77e-6bf90a2d31c5_TWFU-CPT0014470002-XBa1_1	dg.4DFC/f442ad38-1c04-11ee-a77e-6bf90a2d31c5	Not specified in data	Not specified in data
TWFU-CPT0014470002-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f442d268-1c04-11ee-9722-b3ea6b40549b_TWFU-CPT0014470002-XBa1_1	dg.4DFC/f442d268-1c04-11ee-9722-b3ea6b40549b	Not specified in data	Not specified in data
TWFU-CPT0014470002-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f442f6c6-1c04-11ee-bf46-13fd3dce12d5_TWFU-CPT0014470002-XBa1_1	dg.4DFC/f442f6c6-1c04-11ee-bf46-13fd3dce12d5	Not specified in data	Not specified in data
TWFU-CPT0019130004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4431c82-1c04-11ee-a307-bb9401f56a20_TWFU-CPT0019130004-Y1N1Ba1_1	dg.4DFC/f4431c82-1c04-11ee-a307-bb9401f56a20	Not specified in data	Not specified in data
